[M::mm_idx_gen::25.239*0.98] collected minimizers
[M::mm_idx_gen::34.670*0.99] sorted minimizers
[M::main::34.672*0.99] loaded/built the index for 13665 target sequence(s)
[M::mm_mapopt_update::34.672*0.99] mid_occ = 1000
[M::mm_idx_stat] kmer size: 21; skip: 11; is_hpc: 0; #seq: 13665
[M::mm_idx_stat::35.580*0.99] distinct minimizers: 78001389 (59.03% are singletons); average occurrences: 2.071; average spacing: 6.012; total length: 971275057
[M::worker_pipeline::37.616*0.98] mapped 522944 sequences
[M::worker_pipeline::39.529*0.98] mapped 521619 sequences
[M::worker_pipeline::41.641*0.98] mapped 521523 sequences
[M::worker_pipeline::43.554*0.97] mapped 520279 sequences
[M::worker_pipeline::45.444*0.97] mapped 520532 sequences
[M::worker_pipeline::47.264*0.97] mapped 519303 sequences
[M::worker_pipeline::49.105*0.97] mapped 518725 sequences
[M::worker_pipeline::50.940*0.97] mapped 519309 sequences
[M::worker_pipeline::52.789*0.97] mapped 521644 sequences
[M::worker_pipeline::54.702*0.97] mapped 519910 sequences
[M::worker_pipeline::56.765*0.97] mapped 518205 sequences
[M::worker_pipeline::58.717*0.97] mapped 516989 sequences
[M::worker_pipeline::60.560*0.97] mapped 515617 sequences
[M::worker_pipeline::62.376*0.97] mapped 516211 sequences
[M::worker_pipeline::64.251*0.97] mapped 515340 sequences
[M::worker_pipeline::66.054*0.97] mapped 515334 sequences
[M::worker_pipeline::68.035*0.97] mapped 514275 sequences
[M::worker_pipeline::69.973*0.97] mapped 513802 sequences
[M::worker_pipeline::71.811*0.97] mapped 513142 sequences
[M::worker_pipeline::73.761*0.96] mapped 512521 sequences
[M::worker_pipeline::75.662*0.96] mapped 512951 sequences
[M::worker_pipeline::77.418*0.96] mapped 513058 sequences
[M::worker_pipeline::79.199*0.96] mapped 512108 sequences
[M::worker_pipeline::81.028*0.96] mapped 511736 sequences
[M::worker_pipeline::82.976*0.96] mapped 512262 sequences
[M::worker_pipeline::84.762*0.96] mapped 511590 sequences
[M::worker_pipeline::86.561*0.96] mapped 511904 sequences
[M::worker_pipeline::89.243*0.96] mapped 512597 sequences
[M::worker_pipeline::91.117*0.95] mapped 512113 sequences
[M::worker_pipeline::92.928*0.95] mapped 512629 sequences
[M::worker_pipeline::94.732*0.96] mapped 514250 sequences
[M::worker_pipeline::96.505*0.96] mapped 512973 sequences
[M::worker_pipeline::98.298*0.96] mapped 511152 sequences
[M::worker_pipeline::100.067*0.96] mapped 511447 sequences
[M::worker_pipeline::101.821*0.96] mapped 513113 sequences
[M::worker_pipeline::103.649*0.96] mapped 514460 sequences
[M::worker_pipeline::105.465*0.96] mapped 516178 sequences
[M::worker_pipeline::107.258*0.96] mapped 516007 sequences
[M::worker_pipeline::109.069*0.96] mapped 517116 sequences
[M::worker_pipeline::110.861*0.96] mapped 516241 sequences
[M::worker_pipeline::112.705*0.96] mapped 516440 sequences
[M::worker_pipeline::114.531*0.96] mapped 513595 sequences
[M::worker_pipeline::116.327*0.96] mapped 512838 sequences
[M::worker_pipeline::118.172*0.96] mapped 515415 sequences
[M::worker_pipeline::119.949*0.96] mapped 514162 sequences
[M::worker_pipeline::121.705*0.96] mapped 512201 sequences
[M::worker_pipeline::123.500*0.96] mapped 511592 sequences
[M::worker_pipeline::125.260*0.96] mapped 511406 sequences
[M::worker_pipeline::127.016*0.96] mapped 510894 sequences
[M::worker_pipeline::128.773*0.96] mapped 511069 sequences
[M::worker_pipeline::130.507*0.96] mapped 511456 sequences
[M::worker_pipeline::132.244*0.96] mapped 511936 sequences
[M::worker_pipeline::134.005*0.96] mapped 513280 sequences
