[M::mm_idx_gen::26.554*0.96] collected minimizers
[M::mm_idx_gen::36.696*0.97] sorted minimizers
[M::main::36.697*0.97] loaded/built the index for 13665 target sequence(s)
[M::mm_mapopt_update::36.697*0.97] mid_occ = 1000
[M::mm_idx_stat] kmer size: 21; skip: 11; is_hpc: 0; #seq: 13665
[M::mm_idx_stat::38.253*0.97] distinct minimizers: 78001389 (59.03% are singletons); average occurrences: 2.071; average spacing: 6.012; total length: 971275057
[M::worker_pipeline::47.093*0.98] mapped 333334 sequences
[M::worker_pipeline::55.251*0.98] mapped 333334 sequences
[M::worker_pipeline::63.287*0.98] mapped 333334 sequences
[M::worker_pipeline::71.217*0.99] mapped 333334 sequences
[M::worker_pipeline::79.200*0.99] mapped 333334 sequences
[M::worker_pipeline::87.096*0.99] mapped 333334 sequences
[M::worker_pipeline::94.916*0.99] mapped 333334 sequences
[M::worker_pipeline::102.549*0.99] mapped 333334 sequences
[M::worker_pipeline::110.130*0.99] mapped 333334 sequences
[M::worker_pipeline::117.627*0.99] mapped 333334 sequences
[M::worker_pipeline::124.608*0.99] mapped 333334 sequences
[M::worker_pipeline::131.679*0.99] mapped 333334 sequences
[M::worker_pipeline::138.747*0.99] mapped 333334 sequences
[M::worker_pipeline::145.813*0.99] mapped 333334 sequences
[M::worker_pipeline::152.820*0.99] mapped 333334 sequences
[M::worker_pipeline::159.877*0.99] mapped 333334 sequences
[M::worker_pipeline::166.948*0.99] mapped 333334 sequences
[M::worker_pipeline::173.906*0.99] mapped 333334 sequences
[M::worker_pipeline::180.922*0.99] mapped 333334 sequences
[M::worker_pipeline::187.936*0.99] mapped 333334 sequences
[M::worker_pipeline::194.959*0.99] mapped 333334 sequences
[M::worker_pipeline::202.067*0.99] mapped 333334 sequences
[M::worker_pipeline::209.093*0.99] mapped 333334 sequences
[M::worker_pipeline::216.111*1.00] mapped 333334 sequences
[M::worker_pipeline::223.174*1.00] mapped 333334 sequences
[M::worker_pipeline::230.170*1.00] mapped 333334 sequences
[M::worker_pipeline::237.187*1.00] mapped 333334 sequences
[M::worker_pipeline::244.206*1.00] mapped 333334 sequences
[M::worker_pipeline::251.289*1.00] mapped 333334 sequences
[M::worker_pipeline::258.350*1.00] mapped 333334 sequences
[M::worker_pipeline::265.350*1.00] mapped 333334 sequences
[M::worker_pipeline::272.446*1.00] mapped 333334 sequences
[M::worker_pipeline::279.482*1.00] mapped 333334 sequences
[M::worker_pipeline::286.479*1.00] mapped 333334 sequences
[M::worker_pipeline::293.461*1.00] mapped 333334 sequences
[M::worker_pipeline::300.472*1.00] mapped 333334 sequences
[M::worker_pipeline::307.517*1.00] mapped 333334 sequences
[M::worker_pipeline::314.512*1.00] mapped 333334 sequences
[M::worker_pipeline::321.516*1.00] mapped 333334 sequences
[M::worker_pipeline::328.532*1.00] mapped 333334 sequences
[M::worker_pipeline::335.567*1.00] mapped 333334 sequences
[M::worker_pipeline::342.618*1.00] mapped 333334 sequences
[M::worker_pipeline::349.568*1.00] mapped 333334 sequences
[M::worker_pipeline::356.596*1.00] mapped 333334 sequences
[M::worker_pipeline::363.642*1.00] mapped 333334 sequences
[M::worker_pipeline::370.644*1.00] mapped 333334 sequences
[M::worker_pipeline::377.659*1.00] mapped 333334 sequences
[M::worker_pipeline::384.695*1.00] mapped 333334 sequences
[M::worker_pipeline::391.657*1.00] mapped 333334 sequences
[M::worker_pipeline::398.751*1.00] mapped 333334 sequences
[M::worker_pipeline::405.799*1.00] mapped 333334 sequences
[M::worker_pipeline::412.788*1.00] mapped 333334 sequences
[M::worker_pipeline::419.801*1.00] mapped 333334 sequences
[M::worker_pipeline::426.840*1.00] mapped 333334 sequences
[M::worker_pipeline::433.877*1.00] mapped 333334 sequences
[M::worker_pipeline::440.916*1.00] mapped 333334 sequences
[M::worker_pipeline::447.927*1.00] mapped 333334 sequences
[M::worker_pipeline::454.928*1.00] mapped 333334 sequences
[M::worker_pipeline::461.950*1.00] mapped 333334 sequences
[M::worker_pipeline::469.041*1.00] mapped 333334 sequences
[M::worker_pipeline::476.032*1.00] mapped 333334 sequences
[M::worker_pipeline::483.081*1.00] mapped 333334 sequences
[M::worker_pipeline::490.016*1.00] mapped 333334 sequences
[M::worker_pipeline::497.050*1.00] mapped 333334 sequences
[M::worker_pipeline::504.065*1.00] mapped 333334 sequences
[M::worker_pipeline::511.113*1.00] mapped 333334 sequences
[M::worker_pipeline::518.192*1.00] mapped 333334 sequences
[M::worker_pipeline::525.175*1.00] mapped 333334 sequences
[M::worker_pipeline::532.191*1.00] mapped 333334 sequences
[M::worker_pipeline::539.166*1.00] mapped 333334 sequences
[M::worker_pipeline::546.162*1.00] mapped 333334 sequences
[M::worker_pipeline::553.112*1.00] mapped 333334 sequences
[M::worker_pipeline::560.155*1.00] mapped 333334 sequences
[M::worker_pipeline::567.214*1.00] mapped 333334 sequences
[M::worker_pipeline::574.201*1.00] mapped 333334 sequences
[M::worker_pipeline::581.229*1.00] mapped 333334 sequences
[M::worker_pipeline::588.263*1.00] mapped 333334 sequences
[M::worker_pipeline::595.326*1.00] mapped 333334 sequences
[M::worker_pipeline::602.316*1.00] mapped 333334 sequences
[M::worker_pipeline::609.341*1.00] mapped 333334 sequences
[M::worker_pipeline::616.341*1.00] mapped 333334 sequences
[M::worker_pipeline::623.369*1.00] mapped 333334 sequences
[M::worker_pipeline::630.402*1.00] mapped 333334 sequences
[M::worker_pipeline::637.475*1.00] mapped 333334 sequences
[M::worker_pipeline::644.513*1.00] mapped 333334 sequences
[M::worker_pipeline::651.560*1.00] mapped 333334 sequences
[M::worker_pipeline::658.581*1.00] mapped 333334 sequences
[M::worker_pipeline::665.646*1.00] mapped 333334 sequences
[M::worker_pipeline::672.673*1.00] mapped 333334 sequences
[M::worker_pipeline::679.675*1.00] mapped 333334 sequences
[M::worker_pipeline::686.719*1.00] mapped 333334 sequences
[M::worker_pipeline::693.776*1.00] mapped 333334 sequences
[M::worker_pipeline::700.800*1.00] mapped 333334 sequences
[M::worker_pipeline::707.853*1.00] mapped 333334 sequences
[M::worker_pipeline::714.839*1.00] mapped 333334 sequences
[M::worker_pipeline::721.901*1.00] mapped 333334 sequences
[M::worker_pipeline::728.917*1.00] mapped 333334 sequences
[M::worker_pipeline::735.964*1.00] mapped 333334 sequences
[M::worker_pipeline::742.898*1.00] mapped 333334 sequences
[M::worker_pipeline::749.869*1.00] mapped 333334 sequences
[M::worker_pipeline::756.898*1.00] mapped 333334 sequences
[M::worker_pipeline::763.992*1.00] mapped 333334 sequences
[M::worker_pipeline::771.010*1.00] mapped 333334 sequences
