[M::mm_idx_gen::32.127*0.96] collected minimizers
[M::mm_idx_gen::44.783*0.97] sorted minimizers
[M::main::44.785*0.97] loaded/built the index for 13665 target sequence(s)
[M::mm_mapopt_update::44.785*0.97] mid_occ = 1000
[M::mm_idx_stat] kmer size: 21; skip: 11; is_hpc: 0; #seq: 13665
[M::mm_idx_stat::45.975*0.98] distinct minimizers: 78001389 (59.03% are singletons); average occurrences: 2.071; average spacing: 6.012; total length: 971275057
[M::worker_pipeline::50.789*0.97] mapped 333334 sequences
[M::worker_pipeline::55.351*0.97] mapped 333334 sequences
[M::worker_pipeline::59.975*0.98] mapped 333334 sequences
[M::worker_pipeline::64.623*0.98] mapped 333334 sequences
[M::worker_pipeline::69.154*0.98] mapped 333334 sequences
[M::worker_pipeline::73.726*0.98] mapped 333334 sequences
[M::worker_pipeline::78.301*0.98] mapped 333334 sequences
[M::worker_pipeline::82.795*0.98] mapped 333334 sequences
[M::worker_pipeline::87.316*0.98] mapped 333334 sequences
[M::worker_pipeline::91.804*0.98] mapped 333334 sequences
[M::worker_pipeline::96.246*0.98] mapped 333334 sequences
[M::worker_pipeline::100.752*0.98] mapped 333334 sequences
[M::worker_pipeline::105.224*0.98] mapped 333334 sequences
[M::worker_pipeline::109.706*0.98] mapped 333334 sequences
[M::worker_pipeline::114.084*0.98] mapped 333334 sequences
[M::worker_pipeline::118.475*0.98] mapped 333334 sequences
[M::worker_pipeline::122.933*0.98] mapped 333334 sequences
[M::worker_pipeline::127.324*0.98] mapped 333334 sequences
[M::worker_pipeline::131.704*0.98] mapped 333334 sequences
[M::worker_pipeline::136.096*0.98] mapped 333334 sequences
[M::worker_pipeline::140.420*0.98] mapped 333334 sequences
[M::worker_pipeline::144.754*0.98] mapped 333334 sequences
[M::worker_pipeline::149.140*0.98] mapped 333334 sequences
[M::worker_pipeline::153.545*0.98] mapped 333334 sequences
[M::worker_pipeline::157.907*0.98] mapped 333334 sequences
[M::worker_pipeline::162.233*0.98] mapped 333334 sequences
[M::worker_pipeline::166.602*0.98] mapped 333334 sequences
[M::worker_pipeline::170.948*0.98] mapped 333334 sequences
[M::worker_pipeline::175.319*0.99] mapped 333334 sequences
[M::worker_pipeline::179.777*0.99] mapped 333334 sequences
[M::worker_pipeline::184.177*0.99] mapped 333334 sequences
[M::worker_pipeline::188.589*0.99] mapped 333334 sequences
[M::worker_pipeline::192.899*0.99] mapped 333334 sequences
[M::worker_pipeline::197.266*0.99] mapped 333334 sequences
[M::worker_pipeline::201.598*0.99] mapped 333334 sequences
[M::worker_pipeline::206.024*0.99] mapped 333334 sequences
[M::worker_pipeline::210.447*0.99] mapped 333334 sequences
[M::worker_pipeline::214.822*0.99] mapped 333334 sequences
[M::worker_pipeline::219.098*0.99] mapped 333334 sequences
[M::worker_pipeline::223.438*0.99] mapped 333334 sequences
[M::worker_pipeline::227.742*0.99] mapped 333334 sequences
[M::worker_pipeline::232.053*0.99] mapped 333334 sequences
[M::worker_pipeline::236.338*0.99] mapped 333334 sequences
[M::worker_pipeline::240.726*0.99] mapped 333334 sequences
[M::worker_pipeline::245.037*0.99] mapped 333334 sequences
[M::worker_pipeline::249.387*0.99] mapped 333334 sequences
[M::worker_pipeline::253.765*0.99] mapped 333334 sequences
[M::worker_pipeline::258.117*0.99] mapped 333334 sequences
[M::worker_pipeline::262.507*0.99] mapped 333334 sequences
[M::worker_pipeline::266.823*0.99] mapped 333334 sequences
[M::worker_pipeline::271.148*0.99] mapped 333334 sequences
[M::worker_pipeline::275.504*0.99] mapped 333334 sequences
[M::worker_pipeline::279.885*0.99] mapped 333334 sequences
[M::worker_pipeline::284.296*0.99] mapped 333334 sequences
[M::worker_pipeline::288.638*0.99] mapped 333334 sequences
[M::worker_pipeline::292.953*0.99] mapped 333334 sequences
[M::worker_pipeline::297.325*0.99] mapped 333334 sequences
[M::worker_pipeline::301.680*0.99] mapped 333334 sequences
[M::worker_pipeline::306.057*0.99] mapped 333334 sequences
[M::worker_pipeline::310.424*0.99] mapped 333334 sequences
[M::worker_pipeline::314.811*0.99] mapped 333334 sequences
[M::worker_pipeline::319.148*0.99] mapped 333334 sequences
[M::worker_pipeline::323.501*0.99] mapped 333334 sequences
[M::worker_pipeline::327.842*0.99] mapped 333334 sequences
